Name,ARMS,unavailable,unknown,none,bryozoa,porifera,rhodophyta,chlorophyta,protista,mollusca,annelida,chordata,cnidaria
S2_2012_ARMS_004_P10B.jpg,INDO12S2A,4,34,144,7,26,0,0,5,0,1,4,0
S2_2012_ARMS_004_P10T.jpg,INDO12S2A,3,1,3,2,95,100,21,0,0,0,0,0
S2_2012_ARMS_004_P1T.jpg,INDO12S2A,53,56,55,10,17,32,0,0,2,0,0,0
S2_2012_ARMS_004_P2B.jpg,INDO12S2A,57,10,52,46,47,11,0,2,0,0,0,0
S2_2012_ARMS_004_P2T.jpg,INDO12S2A,4,64,24,43,42,40,0,6,0,1,1,0
S2_2012_ARMS_004_P3B.jpg,INDO12S2A,4,5,51,88,44,2,0,0,6,1,24,0
S2_2012_ARMS_004_P3T.jpg,INDO12S2A,56,75,9,18,19,42,0,1,0,3,2,0
S2_2012_ARMS_004_P4B.jpg,INDO12S2A,57,2,40,54,55,5,0,1,1,2,8,0
S2_2012_ARMS_004_P4T.jpg,INDO12S2A,2,73,3,60,22,51,0,2,10,2,0,0
S2_2012_ARMS_004_P5B.jpg,INDO12S2A,3,11,42,75,43,11,0,9,0,30,1,0
S2_2012_ARMS_004_P5T.jpg,INDO12S2A,57,69,22,19,12,37,1,2,0,6,0,0
S2_2012_ARMS_004_P6B.jpg,INDO12S2A,60,6,50,40,40,5,0,2,20,2,0,0
S2_2012_ARMS_004_P6T.jpg,INDO12S2A,1,77,12,45,38,32,0,4,4,12,0,0
S2_2012_ARMS_004_P7B.jpg,INDO12S2A,3,16,23,56,69,4,2,9,2,34,7,0
S2_2012_ARMS_004_P7T.jpg,INDO12S2A,52,79,9,24,7,51,0,0,0,3,0,0
S2_2012_ARMS_004_P8B.jpg,INDO12S2A,53,17,24,67,44,12,0,1,2,5,0,0
S2_2012_ARMS_004_P8T.jpg,INDO12S2A,3,67,56,38,15,36,1,4,5,0,0,0
S2_2012_ARMS_004_P9B.jpg,INDO12S2A,3,11,40,88,45,6,0,3,16,1,12,0
S2_2012_ARMS_004_P9T.jpg,INDO12S2A,4,59,144,1,7,10,0,0,0,0,0,0
S2_2012_ARMS_005_P10B.jpg,INDO12S2B,2,43,141,3,24,1,0,1,3,6,1,0
S2_2012_ARMS_005_P10T.jpg,INDO12S2B,4,0,3,0,73,111,33,0,1,0,0,0
S2_2012_ARMS_005_P1T.jpg,INDO12S2B,57,63,19,11,38,28,0,1,4,4,0,0
S2_2012_ARMS_005_P2B.jpg,INDO12S2B,54,16,41,45,55,8,0,1,0,3,2,0
S2_2012_ARMS_005_P2T.jpg,INDO12S2B,1,65,18,53,28,40,0,6,8,6,0,0
S2_2012_ARMS_005_P3B.jpg,INDO12S2B,2,25,30,55,47,18,3,12,2,13,18,0
S2_2012_ARMS_005_P3T.jpg,INDO12S2B,56,59,28,10,23,46,0,3,0,0,0,0
S2_2012_ARMS_005_P4B.jpg,INDO12S2B,54,15,41,56,31,8,0,0,0,7,13,0
S2_2012_ARMS_005_P4T.jpg,INDO12S2B,2,83,11,39,16,43,0,10,2,0,12,7
S2_2012_ARMS_005_P5B.jpg,INDO12S2B,2,28,67,57,19,25,0,7,0,5,13,2
S2_2012_ARMS_005_P5T.jpg,INDO12S2B,54,72,19,9,29,38,2,0,2,0,0,0
S2_2012_ARMS_005_P6B.jpg,INDO12S2B,54,23,44,63,21,8,2,1,0,9,0,0
S2_2012_ARMS_005_P6T.jpg,INDO12S2B,1,72,48,27,8,42,1,12,11,3,0,0
S2_2012_ARMS_005_P7B.jpg,INDO12S2B,3,14,67,88,24,18,0,4,3,1,3,0
S2_2012_ARMS_005_P7T.jpg,INDO12S2B,56,54,37,14,27,29,0,1,6,1,0,0
S2_2012_ARMS_005_P8B.jpg,INDO12S2B,52,11,71,57,19,8,0,0,0,5,2,0
S2_2012_ARMS_005_P8T.jpg,INDO12S2B,3,43,41,49,41,14,0,9,24,0,1,0
S2_2012_ARMS_005_P9B.jpg,INDO12S2B,3,4,110,31,25,5,0,5,16,3,22,1
S2_2012_ARMS_005_P9T.jpg,INDO12S2B,6,44,144,3,9,12,0,0,0,7,0,0
S2_2012_ARMS_006_P10B.jpg,INDO12S2C,2,3,204,3,7,0,0,1,3,1,1,0
S2_2012_ARMS_006_P10T.jpg,INDO12S2C,2,5,3,2,73,127,12,0,0,0,0,1
S2_2012_ARMS_006_P1T.jpg,INDO12S2C,57,66,66,7,11,17,0,0,0,0,0,1
S2_2012_ARMS_006_P2B.jpg,INDO12S2C,65,18,47,28,55,9,0,3,0,0,0,0
S2_2012_ARMS_006_P2T.jpg,INDO12S2C,2,135,2,29,7,42,0,8,0,0,0,0
S2_2012_ARMS_006_P3B.jpg,INDO12S2C,4,35,6,53,104,10,0,5,2,2,4,0
S2_2012_ARMS_006_P3T.jpg,INDO12S2C,62,75,39,2,17,30,0,0,0,0,0,0
S2_2012_ARMS_006_P4B.jpg,INDO12S2C,74,22,45,19,43,15,0,1,0,2,4,0
S2_2012_ARMS_006_P4T.jpg,INDO12S2C,4,92,29,26,13,42,0,16,2,1,0,0
S2_2012_ARMS_006_P5B.jpg,INDO12S2C,3,25,70,61,47,9,0,3,0,4,3,0
S2_2012_ARMS_006_P5T.jpg,INDO12S2C,61,67,35,7,18,35,0,2,0,0,0,0
S2_2012_ARMS_006_P6B.jpg,INDO12S2C,62,5,53,37,37,13,0,1,16,1,0,0
S2_2012_ARMS_006_P6T.jpg,INDO12S2C,4,94,5,50,19,43,0,10,0,0,0,0
S2_2012_ARMS_006_P7B.jpg,INDO12S2C,2,7,56,107,18,15,0,1,14,1,4,0
S2_2012_ARMS_006_P7T.jpg,INDO12S2C,61,94,22,1,2,42,0,1,1,1,0,0
S2_2012_ARMS_006_P8B.jpg,INDO12S2C,59,21,34,26,56,21,0,2,0,6,0,0
S2_2012_ARMS_006_P8T.jpg,INDO12S2C,4,136,10,7,36,29,0,2,0,1,0,0
S2_2012_ARMS_006_P9B.jpg,INDO12S2C,3,47,114,12,17,23,0,3,1,0,5,0
S2_2012_ARMS_006_P9T.jpg,INDO12S2C,5,59,159,1,0,1,0,0,0,0,0,0
ARMS_011_P10B.jpg,INDO13S1A,4,14,167,10,12,5,3,5,0,5,0,0
ARMS_011_P10T.jpg,INDO13S1A,4,33,12,1,74,66,35,0,0,0,0,0
ARMS_011_P1T.jpg,INDO13S1A,58,54,56,8,10,39,0,0,0,0,0,0
ARMS_011_P2B.jpg,INDO13S1A,56,14,59,13,61,8,0,0,0,1,13,0
ARMS_011_P2T.jpg,INDO13S1A,5,59,13,32,40,25,27,3,2,19,0,0
ARMS_011_P3B.jpg,INDO13S1A,4,31,16,42,93,12,1,4,0,2,18,2
ARMS_011_P3T.jpg,INDO13S1A,52,55,37,7,39,24,0,0,2,9,0,0
ARMS_011_P4B.jpg,INDO13S1A,55,20,39,30,42,9,22,2,0,4,2,0
ARMS_011_P4T.jpg,INDO13S1A,4,112,19,12,34,28,12,1,1,2,0,0
ARMS_011_P5B.jpg,INDO13S1A,4,24,22,40,83,8,2,1,37,4,0,0
ARMS_011_P5T.jpg,INDO13S1A,54,49,48,6,14,39,0,1,0,14,0,0
ARMS_011_P6B.jpg,INDO13S1A,55,21,40,42,19,7,1,0,34,5,0,1
ARMS_011_P6T.jpg,INDO13S1A,4,84,34,27,41,18,1,7,9,0,0,0
ARMS_011_P7B.jpg,INDO13S1A,3,26,42,73,33,4,2,2,32,6,2,0
ARMS_011_P7T.jpg,INDO13S1A,58,44,41,19,23,35,0,2,0,2,1,0
ARMS_011_P8B.jpg,INDO13S1A,51,12,43,50,28,11,1,0,12,11,0,6
ARMS_011_P8T.jpg,INDO13S1A,4,113,25,39,15,10,2,7,0,4,0,6
ARMS_011_P9B.jpg,INDO13S1A,3,26,56,52,24,8,3,4,17,5,24,3
ARMS_011_P9T.jpg,INDO13S1A,4,19,194,1,1,1,0,0,0,5,0,0
ARMS_012_P10B.jpg,INDO13S1B,4,11,190,1,15,0,1,0,0,3,0,0
ARMS_012_P10T.jpg,INDO13S1B,4,1,12,0,76,108,23,0,0,1,0,0
ARMS_012_P1T.jpg,INDO13S1B,60,72,41,8,19,21,3,0,0,1,0,0
ARMS_012_P2B.jpg,INDO13S1B,54,13,58,30,53,9,4,2,0,1,1,0
ARMS_012_P2T.jpg,INDO13S1B,2,77,7,17,94,25,0,1,0,1,1,0
ARMS_012_P3B.jpg,INDO13S1B,3,47,22,53,65,11,1,1,0,1,21,0
ARMS_012_P3T.jpg,INDO13S1B,56,69,47,3,16,29,4,0,0,1,0,0
ARMS_012_P4B.jpg,INDO13S1B,60,15,39,23,63,9,0,1,0,2,13,0
ARMS_012_P4T.jpg,INDO13S1B,3,99,15,13,77,14,2,0,0,1,1,0
ARMS_012_P5B.jpg,INDO13S1B,4,17,34,60,53,9,3,3,0,3,36,3
ARMS_012_P5T.jpg,INDO13S1B,58,54,51,4,28,30,0,0,0,0,0,0
ARMS_012_P6B.jpg,INDO13S1B,65,2,46,22,50,7,1,0,10,1,21,0
ARMS_012_P6T.jpg,INDO13S1B,3,128,7,4,54,15,9,0,4,1,0,0
ARMS_012_P7B.jpg,INDO13S1B,4,85,26,33,46,6,0,0,0,2,23,0
ARMS_012_P7T.jpg,INDO13S1B,65,79,27,2,13,26,9,0,0,0,4,0
ARMS_012_P8B.jpg,INDO13S1B,65,12,68,9,44,4,0,0,20,2,1,0
ARMS_012_P8T.jpg,INDO13S1B,4,103,3,12,93,5,4,0,0,0,0,1
ARMS_012_P9B.jpg,INDO13S1B,2,42,26,74,54,7,0,3,0,0,17,0
ARMS_012_P9T.jpg,INDO13S1B,0,55,150,0,1,0,0,0,0,19,0,0
ARMS_013_P10B.jpg,INDO13S1C,4,5,190,0,23,0,0,0,0,3,0,0
ARMS_013_P10T.jpg,INDO13S1C,4,5,14,0,60,112,30,0,0,0,0,0
ARMS_013_P1T.jpg,INDO13S1C,49,55,70,7,20,21,3,0,0,0,0,0
ARMS_013_P2B.jpg,INDO13S1C,57,21,43,34,55,3,2,0,0,4,6,0
ARMS_013_P2T.jpg,INDO13S1C,3,134,10,5,54,18,0,1,0,0,0,0
ARMS_013_P3B.jpg,INDO13S1C,4,34,25,87,48,7,0,6,0,4,8,2
ARMS_013_P3T.jpg,INDO13S1C,56,67,58,0,23,19,0,0,0,2,0,0
ARMS_013_P4B.jpg,INDO13S1C,60,16,37,26,47,16,1,1,3,5,13,0
ARMS_013_P4T.jpg,INDO13S1C,4,117,36,8,20,36,0,1,0,1,1,1
ARMS_013_P5B.jpg,INDO13S1C,5,34,9,33,73,10,2,1,0,5,53,0
ARMS_013_P5T.jpg,INDO13S1C,59,63,56,0,17,26,3,0,0,0,1,0
ARMS_013_P6B.jpg,INDO13S1C,62,21,61,35,21,13,3,0,0,8,1,0
ARMS_013_P6T.jpg,INDO13S1C,4,105,25,7,48,26,7,3,0,0,0,0
ARMS_013_P7B.jpg,INDO13S1C,5,30,8,103,42,5,3,1,0,4,23,1
ARMS_013_P7T.jpg,INDO13S1C,54,76,34,11,21,24,0,0,1,4,0,0
ARMS_013_P8B.jpg,INDO13S1C,47,25,52,35,20,9,1,0,0,4,32,0
ARMS_013_P8T.jpg,INDO13S1C,3,143,5,16,38,12,4,1,0,0,3,0
ARMS_013_P9B.jpg,INDO13S1C,4,21,23,64,81,5,0,2,11,3,11,0
ARMS_013_P9T.jpg,INDO13S1C,0,33,185,0,2,0,0,0,0,5,0,0
S1_2012_ARMS_007_P10B.jpg,INDO12S1C,3,51,137,3,25,0,0,1,0,3,2,0
S1_2012_ARMS_007_P10T.jpg,INDO12S1C,2,2,2,1,62,149,7,0,0,0,0,0
S1_2012_ARMS_007_P1T.jpg,INDO12S1C,53,81,10,3,50,24,0,0,3,0,0,1
S1_2012_ARMS_007_P2B.jpg,INDO12S1C,57,16,28,29,86,7,1,0,0,1,0,0
S1_2012_ARMS_007_P2T.jpg,INDO12S1C,3,78,4,14,87,31,0,2,5,1,0,0
S1_2012_ARMS_007_P3B.jpg,INDO12S1C,4,29,20,45,99,18,2,5,0,1,0,2
S1_2012_ARMS_007_P3T.jpg,INDO12S1C,50,63,32,10,43,23,0,0,2,2,0,0
S1_2012_ARMS_007_P4B.jpg,INDO12S1C,52,20,35,47,61,9,1,0,0,0,0,0
S1_2012_ARMS_007_P4T.jpg,INDO12S1C,1,96,17,63,4,35,0,7,0,2,0,0
S1_2012_ARMS_007_P5B.jpg,INDO12S1C,2,32,21,55,52,25,0,2,0,1,35,0
S1_2012_ARMS_007_P5T.jpg,INDO12S1C,51,65,28,5,43,33,0,0,0,0,0,0
S1_2012_ARMS_007_P6B.jpg,INDO12S1C,51,38,28,32,58,13,0,0,0,3,2,0
S1_2012_ARMS_007_P6T.jpg,INDO12S1C,2,44,5,18,128,11,0,1,16,0,0,0
S1_2012_ARMS_007_P7B.jpg,INDO12S1C,4,37,15,76,54,8,0,1,0,0,30,0
S1_2012_ARMS_007_P7T.jpg,INDO12S1C,56,68,23,15,41,16,0,1,0,0,5,0
S1_2012_ARMS_007_P8B.jpg,INDO12S1C,57,48,25,45,39,10,0,1,0,0,0,0
S1_2012_ARMS_007_P8T.jpg,INDO12S1C,2,107,16,33,24,12,0,24,2,4,1,0
S1_2012_ARMS_007_P9B.jpg,INDO12S1C,1,44,35,62,50,8,0,7,14,3,1,0
S1_2012_ARMS_007_P9T.jpg,INDO12S1C,4,45,155,5,14,1,0,0,0,1,0,0
